hospital_code,latitude,longitude
18014,18.94148,72.82846
18256,21.29932,77.51773
18135,9.261564,76.77135
18136,18.9993,72.8406
18015,19.0335,72.83825
18257,20.794116,77.709547
18258,20.724952,77.04278
18137,19.19874,74.72329
18016,19.00153,72.84187
18017,18.97464,72.83647
18138,19.09462,74.73137
18252,19.87994,75.33247
18131,17.669,75.9099
18011,19.95428,79.29631
18253,20.93041,77.75449
18132,16.69411,74.24156
18134,16.8524,74.58148
18130,16.842421,74.619929
18251,18.18159,76.03624
284454,19.194329,72.970178
18139,19.57868,74.45594
18018,19.01762,72.85613
18025,19.045967,72.843058
18267,20.13496,77.11777
18146,19.88039,74.47092
18147,19.08069,74.73228
18268,18.408491,76.551573
18026,20.70593,77.0219
18027,18.98909,75.76008
18149,20.004874,73.787165
18142,19.10843,74.73536
18022,18.95891,72.81995
18143,19.6227,74.6604
18144,19.117,74.73587
18265,21.13251,79.05404
18023,19.02334,72.83772
18266,21.140578,79.060506
18024,19.09583,72.8401
18145,19.419633,74.65553
18140,19.75421,74.47796
18261,20.70762,77.01046
18262,19.2717,76.76503
18141,19.09269,74.73623
284448,18.521428,73.854454
283233,22.351115,78.667743
284443,19.84415,75.23226
18234,19.9519,79.29769
18113,17.66265,75.89612
18114,17.65726,75.91027
18236,18.40111,76.58047
18115,17.65992,75.90639
18116,16.6716,74.2346
18237,18.41815,76.57059
18230,20.53271,76.18061
18231,18.73174,76.37172
18232,18.842659,76.535058
18111,18.23421,75.68987
18112,19.76062,73.76985
284555,18.7032628,73.6836701
284433,20.9727,79.4027
284432,20.147888,77.880353
18117,20.52921,76.18417
18238,18.39231,77.10699
18118,16.21944,74.35184
18124,16.79148,74.57269
18003,18.97441,72.82229
18125,16.71094,74.23765
18004,19.8578,75.33628
18247,19.2331,72.8525
18005,18.97271,72.80439
18126,19.205274,72.840465
18006,18.94068,72.83787
18248,19.86859,75.65131
18120,16.68168,74.46774
18241,17.83503,76.62215
18121,16.86221,74.240034
18243,19.15371,77.31165
18001,18.97172,72.80984
18122,16.71509,74.2567
18244,19.13825,77.32096
18123,16.69132,74.24487
18240,19.97046,79.30148
283459,18.49831,73.69183
281039,20.55362,74.52062
18007,18.9525,72.81819
18129,18.46625,73.85771
18008,18.94215,72.83223
18009,18.9229,72.83153
284140,20.739047,79.779246
18214,18.08202,73.42244
18215,18.98636,73.09504
283290,22.351115,78.667743
284016,19.078545,72.878176
284015,20.39661,78.14152
284499,16.83183,74.57424
283289,22.351115,78.667743
284014,18.4045,75.1954
283287,22.351115,78.667743
284254,19.8682,75.40466
18216,19.00827,73.10821
283286,18.57983,75.001532
18223,19.86931,75.34824
18102,17.285065,74.185701
18103,17.68046,74.01826
18104,17.98445,74.43604
18225,19.8755,75.35243
18105,17.27921,74.18262
18226,19.86711,75.32823
18220,18.40198,76.55952
18221,20.90422,74.7749
18227,19.82969,75.88003
18228,19.83234,75.87449
18107,17.66388,75.90064
18108,17.87385,75.00988
18229,21.4578,80.19954
284361,20.011248,73.790236
18109,17.67304,75.90713
284360,19.078545,72.878176
27146,21.1261,79.0971
284117,28.63542,77.23298
284359,19.194329,72.970178
284358,18.521428,73.854454
27145,19.71737,77.14937
284112,19.780323,79.111326
283264,22.351115,78.667743
283142,22.351115,78.667743
284350,18.521428,73.854454
283261,22.351115,78.667743
283260,18.521428,73.854454
18201,19.04125,73.02415
18203,19.15962,77.30828
18204,19.30109,73.0585
27154,18.96299,72.83376
27152,21.45925,80.19768
284589,21.4745734,76.8891609
18209,19.36664,72.8161
284467,19.780323,79.111326
18205,19.2565,72.84684
27150,15.90526,73.82132
18208,19.14959,77.31517
18098,16.83325,74.63904
18094,16.8165,74.64247
18095,16.85124,74.5825
18096,16.841716,74.617969
18097,16.8165,74.64247
18090,17.03226,74.29261
18091,16.83554,74.63139
283198,22.351115,78.667743
18076,16.70974,74.23701
18078,18.50482,73.9272
18199,19.08279,72.99604
18079,18.62432,73.80793
18072,18.55375,73.80687
18193,19.216,73.082
18073,18.53351,73.87732
18195,19.24464,73.12353
18196,19.2094,73.09395
18190,19.19011,72.97148
18070,18.57729,73.68146
18071,18.51996,73.86703
285061,21.0221715,75.4794827
284150,19.262469,76.7718
18088,20.607715,79.855757
18089,20.17456,79.98441
18083,18.45624,73.82219
18084,18.521428,73.854454
18085,18.1526,74.57501
18086,21.1352,79.07834
18080,18.51337,73.83308
18081,18.62572,73.77478
18082,18.51089,73.86632
283298,22.351115,78.667743
18058,19.03648,72.86865
18179,19.99065,73.77526
18059,19.208,72.85105
18175,20.03435,73.85457
18055,19.15961,72.84028
18176,20.55301,74.51805
18177,19.97559,73.80397
18178,20.00054,73.7874
18057,19.18378,72.84917
18050,19.11779,72.87809
18292,20.73929,78.66093
18171,20.00884,73.7702
18051,19.07882,72.84499
18293,20.715824,78.575564
18173,19.97198,73.79212
18052,19.12839,72.8666
18295,19.56998,74.20715
280738,18.94505,72.83183
18290,21.12393,79.1041
18291,20.73785,78.6032
18069,18.50092,73.85753
18065,18.50211,73.83223
18186,19.19471,72.95287
18187,19.19234,72.98676
18188,19.14105,72.8541
18189,19.19028,72.97115
18068,18.53528,73.88698
18061,19.089304,73.004063
18183,19.187896,72.96724
18062,18.47143,73.959674
18184,19.19857,72.97797
18064,18.45956,73.85732
18185,19.187729,72.967926
18181,21.34362,74.88183
280723,17.27697,74.18076
18278,20.88649,76.20717
18157,21.00844,75.56821
18037,19.0824,72.90455
18158,21.00423,75.54455
284084,20.12835,77.17592
18159,21.04221,75.06002
18038,19.05749,72.83363
18039,19.05096,72.82903
18153,20.89788,74.77535
18275,20.39687,78.11875
18033,19.04246,72.91436
18154,20.89443,74.7597
18034,19.0793,72.90169
18155,21.03429,75.78103
18156,21.01724,75.56417
18035,19.03241,72.85958
18277,20.525426,76.191415
18150,20.86395,74.76235
18030,19.0473,72.8746
280719,19.17209,77.3153
18152,20.90361,74.741293
18031,19.0435,72.86451
18289,21.13358,79.07274
18047,19.16149,72.9415
18168,20.00487,73.78716
18169,19.99689,73.77818
18049,19.119457,72.844948
18164,21.37555,74.24276
18285,21.13193,79.06823
18043,18.51663,73.86651
18286,21.12305,79.05715
18044,19.05522,72.82723
18045,19.12032,72.91731
18287,21.13523,79.07298
18166,21.13422,79.07634
18167,20.55255,74.47539
18288,21.136,79.088
18160,21.00423,75.55692
18040,19.10428,72.85361
18161,21.01028,75.5677
18162,21.05727,75.69546
18283,21.13965,79.0602
18284,21.1013,79.002
18042,19.14264,72.93339
280536,19.030826,73.019854
280537,17.849907,75.27632
280535,18.56501,73.78593
280770,19.18166,77.3276
280768,18.61485,73.84795
280765,16.13793,73.68393
280520,19.877263,75.339024
280516,17.43339,75.18919
280757,18.97939,72.81287
283609,21.03871,79.02413
280696,16.83286,74.64113
283840,18.398227,76.562591
280694,19.9137,77.5707
282741,22.351115,78.667743
282735,28.64458,77.19042
282733,18.521428,73.854454
282612,20.99969,75.55626
280674,17.67048,75.31635
282601,18.521428,73.854454
280662,18.73524,73.67442
27129,20.702666,77.001984
27126,16.12019,73.689563
27127,18.39451,76.57814
27120,18.52043,73.85674
27121,16.84394,74.6516
280138,17.67228,75.91947
27124,19.22966,73.16502
27122,21.14893,79.11656
27123,20.12176,77.13136
280132,16.8524,74.58148
280133,17.28431,74.18119
280130,16.85381,74.575
280131,16.852571,74.574678
282670,18.62308,73.81859
27131,19.1564,77.31328
282668,19.87294,75.32071
27130,20.1861,79.9906
280128,19.0432,73.06625
280125,18.63853,73.84779
284844,19.6941318,72.7705169
280126,18.6238,73.80396
280123,18.51455,73.86499
284843,18.1653907,74.5662682
280124,18.623079,73.818593
284721,18.8263986,74.3772285
284720,18.6240652,73.819007
280120,17.399914,73.547448
27107,19.00486,72.84292
27104,19.87338,75.34497
27105,16.98862,73.29818
27108,21.35958,74.25067
27109,17.70774,74.00063
284835,18.7049,76.93939
27117,21.17501,79.65582
27118,16.98913,73.29887
27115,18.98909,75.76008
27116,18.64078,72.87172
27119,17.65992,75.90639
27114,20.93326,77.76077
27111,17.02311,74.85763
