id,snapshot_date,hospital_code,blood_bank_name,district,city,area,address,contact,hospital_type,A+,A-,B+,B-,O+,O-,AB+,AB-,latitude,longitude,source_file
1317,2026-08-24,18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,Mumbai,Dr.G.Deshmukh,"15,Dr.G.Deshmukh Marg,, Mumbai, Mumbai, Maharashtra","Phone: 9320918214 ,Fax: -, Email: bloodbank.officer@jaslokhospital.net",Charitable/Vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.97172,72.80984,blood-avail-data 24-8-26.pdf
1320,2026-08-24,18002,The B.D. Petit Parsee General Hospital Bsu,Mumbai,Mumbai,Grant Road,"B D Petit Marg, Cumballa Hills, Grant Road West, Mumbai, , Mumbai, Mumbai,  Maharashtra",-,Charitable/Vol,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,blood-avail-data 24-8-26.pdf
1305,2026-08-24,18003,"Byl Nair Hospital, Blood Centre",Mumbai,Mumbai,Mumbai Central,"New OPD Bldg. 2nd Floor, Dr. A. L.Nair Road,, Mumbai Central, Mumbai,  Maharashtra","Phone: 2223027644 ,Fax: -, Email: nairbloodbank@yahoo.com",Govt.,24.0,0.0,117.0,4.0,87.0,12.0,45.0,4.0,18.97441,72.82229,blood-avail-data 24-8-26.pdf
1307,2026-08-24,18004,Goodwill Social ClubS Amruta Blood Centre,Aurangabad,Aurangabad,Cidco,"Goodwill Social ClubS Amruta Blood Centre, Aurangabad, Aurangabad, Maharashtra","Phone: 7756067804 ,Fax: 0240-2351145, Email: amrutabloodbank@gmail.com",Charitable/Vol,29.0,2.0,71.0,4.0,56.0,2.0,14.0,0.0,19.8578,75.33628,blood-avail-data 24-8-26.pdf
1309,2026-08-24,18005,Breach Candy Hospital Trust Blood Centre,Mumbai,Mumbai,Breach Candy,"60-A, Bhulabhai Desai Road, Mumbai, Mumbai, Maharashtra","Phone: 2223667820 ,Fax: 2223672666, Email:  drsunita.tulsiani@breachcandyhospital.org",Charitable/Vol,30.0,1.0,27.0,0.0,25.0,1.0,4.0,1.0,18.97271,72.80439,blood-avail-data 24-8-26.pdf
1311,2026-08-24,18006,St. GeorgeS Hospital And Regional  Blood Centre,Mumbai,Mumbai,Fort,"St. GeorgeS Hospital And Regional  Blood Centre, Mumbai, Mumbai, Maharashtra","Phone: 9967494252 ,Fax: 22624464, Email: bb004@mahasbtc.com",Govt.,9.0,1.0,9.0,3.0,13.0,2.0,0.0,1.0,18.94068,72.83787,blood-avail-data 24-8-26.pdf
1326,2026-08-24,18007,Saifee Hospital Trust Blood Centre,Mumbai,Mumbai,Charni Road,"Post box no.3771, 15/17, Maharshi Karve Marg, Opp Charni Roa, Mumbai, Mumbai,  Maharashtra","Phone: 9869784307 ,Fax: 1234567890, Email: saifeebloodbank@yahoo.co.in",Charitable/Vol,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.9525,72.81819,blood-avail-data 24-8-26.pdf
1327,2026-08-24,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,Mumbai,Mumbai Cst,"Mahapalika Marg, Mumbai CST,, Mumbai, Mumbai, Maharashtra","Phone: 2222710319 ,Fax: -, Email: bb214mahasbtc@gmail.com",Govt.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.94215,72.83223,blood-avail-data 24-8-26.pdf
1329,2026-08-24,18009,Bombay Red Cross Blood Centre,Mumbai,Mumbai,Fort,"141,Shahid Bhagat Singh Road, Town Hall Compound Near R.B.I., Mumbai, Mumbai,  Maharashtra","Phone: 9819424404 ,Fax: -, Email: brcbc@gmail.com",Red Cross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9229,72.83153,blood-avail-data 24-8-26.pdf
1248,2026-08-24,18011,General Hospital Blood Centre,Chandrapur,Chandrapur,Chandrapur,"Govt. General Hospital Blood Centre, near chota bazar, main road Chandrapur,  Chhota Bajar Chowk, Chandrapur , Chandrapur, Chandrapur, Maharashtra","Phone: 8879902477 ,Fax: 1234567890, Email: bbchandrapur@gmail.com",Govt.,10.0,3.0,35.0,7.0,47.0,7.0,2.0,3.0,19.95428,79.29631,blood-avail-data 24-8-26.pdf
1235,2026-08-24,18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,Marine Lines,"MRC, Bombay Hospital 12, New Marine Lines,, Mumbai, Mumbai, Maharashtra","Phone: 9820302628 ,Fax: -, Email: bloodbankbombayhospital@gmail.com",Charitable/Vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.94148,72.82846,blood-avail-data 24-8-26.pdf
1238,2026-08-24,18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,Mahim,"Wing 1, Third Floor,East Block,Veer Savarkar Road, Mahim (W), Mumbai, Mumbai,  Maharashtra","Phone: 9152888133 ,Fax: -, Email: dr_adeshpande@yahoo.co.in",Charitable/Vol,28.0,0.0,19.0,0.0,4.0,0.0,3.0,0.0,19.0335,72.83825,blood-avail-data 24-8-26.pdf
1242,2026-08-24,18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,Parel,"Acharya Donde Marg, Parel, Mumbai - 400012, Mumbai, Mumbai, Maharashtra","Phone: 02224107016 ,Fax: -, Email: bloodbankkem@gmail.com",Govt.,60.0,1.0,56.0,0.0,69.0,2.0,21.0,0.0,19.00153,72.84187,blood-avail-data 24-8-26.pdf
1243,2026-08-24,18017,Masina Hospital Blood Centre,Mumbai,Mumbai,Byculla,"Sant Savta Marg, Byculla (E),, Byculla, Mumbai, Maharashtra","Phone: 9004362229 ,Fax: -, Email: bloodbank@masinahospital.coml.com",Charitable/Vol,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.97464,72.83647,blood-avail-data 24-8-26.pdf
1257,2026-08-24,18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,Opp. Kem Hospital,"Acharya Donde Marg, Opp. KEM Hospital,, Mumbai, Mumbai, Maharashtra","Phone: 9152007492 ,Fax: -, Email: wadiabloodbank@gmail.com",Charitable/Vol,12.0,0.0,13.0,0.0,22.0,0.0,13.0,0.0,19.01762,72.85613,blood-avail-data 24-8-26.pdf
1258,2026-08-24,18019,Prince Aly Khan Hospital Blood Centre,Mumbai,Mumbai,Mazgaon,"Aga Hall, Nesbit Road, Mazgaon,, Mumbai, Mumbai, Maharashtra","Phone: 9821035341, 022-23777934  ,Fax: -, Email:  sunitasrivastavpakhbb@gmail.com",Charitable/Vol,8.0,0.0,10.0,0.0,15.0,0.0,5.0,0.0,,,blood-avail-data 24-8-26.pdf
1268,2026-08-24,18021,Sir J.J.Mahanagar Rakthapedhi,Mumbai,Mumbai,Byculla,"Ground Floor, F.D. Petit Building,J.J.Campus,J.J.Road, Bycul, Mumbai, Mumbai,  Maharashtra","Phone: 9892860703,022- 23735585 ,Fax: 23733338, Email:  drhitesh@mahasbtc.com",Govt.,172.0,12.0,166.0,10.0,212.0,14.0,68.0,3.0,,,blood-avail-data 24-8-26.pdf
1271,2026-08-24,18022,Sir H N Hospital And Research Centre Blood Centre,Mumbai,Mumbai,Girgoan,"Kapol nivas 3rd floor, Rajaram Mohan Roy Marg, Prarthana Sam, Mumbai, Mumbai,  Maharashtra","Phone: 2235475225 ,Fax: 0, Email: RFH.BloodCentre@rfhospital.org",Charitable/Vol,19.0,0.0,34.0,0.0,27.0,0.0,2.0,0.0,18.95891,72.81995,blood-avail-data 24-8-26.pdf
1275,2026-08-24,18023,Shushrusha Citizens Co-Op Hospital Blood Centre,Mumbai,Mumbai,Dadar West,"Shushrusha  citizens  co-operative Hospital Ltd. Gr.Floor,698-B Ranade Road,  Dadar west, Dadar, Mumbai, Maharashtra","Phone: 9022240366 ,Fax: 1234567890, Email: bloodbank.shushrusha@gmail.com",Charitable/Vol,54.0,2.0,40.0,1.0,49.0,0.0,9.0,0.0,19.02334,72.83772,blood-avail-data 24-8-26.pdf
1277,2026-08-24,18024,Smt. Kapoorben Vasanji Lathiya Blood Centre,Mumbai,Mumbai,Vile Parle,"Swami Vivekanand Road, Opposite Juhu airport, Vile Parle wes, Mumbai, Mumbai,  Maharashtra","Phone: 9320070111 ,Fax: -, Email: nidhi.mehta@nanavatimaxhospital.org",Charitable/Vol,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,19.09583,72.8401,blood-avail-data 24-8-26.pdf
1260,2026-08-24,18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,Mahim,"Raheja Rugnalaya Marg, Mahim,, Mumbai, Mumbai, Maharashtra","Phone: 2266529683 ,Fax: -, Email: bloodbank@rahejahospital.com",Charitable/Vol,37.0,4.0,34.0,3.0,34.0,6.0,21.0,1.0,19.045967,72.843058,blood-avail-data 24-8-26.pdf
1263,2026-08-24,18026,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Sai Jeewan Blood  Centre",Akola,Akola,Akola,"Civil lines on Nazul plot no. 9, Sheet No. 53, at Mankar Complex,sai jeevan  blood center,akola, Akola, Akola, Maharashtra","Phone: 9850650044 ,Fax: 1234567890, Email: nandkumargujalwar@gmail.com",Charitable/Vol,52.0,7.0,62.0,0.0,84.0,0.0,9.0,4.0,20.70593,77.0219,blood-avail-data 24-8-26.pdf
1266,2026-08-24,18027,M/S Beed Blood Centre,Beed,Beed,Beed,"Beed, Beed, Bid, Maharashtra","Phone: 9422750783, 8788105218 ,Fax: -, Email: beedbloodbank@gmail.com",Charitable/Vol,2.0,6.0,27.0,4.0,22.0,1.0,5.0,1.0,18.98909,75.76008,blood-avail-data 24-8-26.pdf
1507,2026-08-24,18030,K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,Mumbai,First,"K.J. Somaiya Medical college And Hospital Blood Bank, First , Mumbai, Mumbai,  Maharashtra","Phone: 0225095473 ,Fax: 24091855/24020946, Email: blood-centre@somaiya.edu",Charitable/Vol,36.0,5.0,42.0,1.0,34.0,2.0,22.0,2.0,19.0473,72.8746,blood-avail-data 24-8-26.pdf
1509,2026-08-24,18031,"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,Mumbai,Sion,"Lokmanya Tilak Gen. Mun. Hospital premise,, Sion, Sion, Mumbai, Maharashtra","Phone: 9167059179,022-2406 3494 / 95   Ext:3469 ,Fax: 022-2402 1771, Email:  bloodbank2009@gmail.com",Govt.,41.0,11.0,50.0,0.0,115.0,7.0,18.0,0.0,19.0435,72.86451,blood-avail-data 24-8-26.pdf
1499,2026-08-24,18033,Bhabha Atomic Research Centre Hospital Blood Centre,Mumbai,Mumbai,Anushakti Nagar,"Blood Bank Pathology Dept. BARC Hospital, Anushakti Nagar,, Mumbai, Mumbai,  Maharashtra","Phone: 022-25598353 / 25598361 ,Fax: 022-25558494 , Email:  aroraveena@yahoo.com",Govt.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04246,72.91436,blood-avail-data 24-8-26.pdf
