district,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Ahmadnagar,2984,17.914879356568363,4.0,53458.0,28.418230563002684,28.719839142091153
Akola,1056,15.684659090909092,3.0,16563.0,25.47348484848485,35.321969696969695
Amravati,1600,16.429375,5.0,26287.0,17.4375,36.8125
Aurangabad,2464,28.486607142857142,5.0,70191.0,19.56168831168831,31.371753246753247
Beed,1232,12.224025974025974,3.0,15060.0,20.0487012987013,41.80194805194805
Bhandara,352,14.019886363636363,5.0,4935.0,15.625,36.64772727272727
Buldana,1232,0.9204545454545454,0.0,1134.0,71.75324675324676,24.107142857142858
Chandrapur,1056,9.234848484848484,2.0,9752.0,32.859848484848484,34.659090909090914
Dhule,1232,14.719967532467532,5.0,18135.0,13.14935064935065,41.964285714285715
Gadchiroli,528,3.4507575757575757,0.0,1822.0,54.166666666666664,21.96969696969697
Gondiya,232,2.8491379310344827,0.0,661.0,51.293103448275865,37.93103448275862
Hingoli,352,8.451704545454545,2.5,2975.0,30.681818181818183,28.693181818181817
Jalgaon,1936,10.162190082644628,1.0,19674.0,44.62809917355372,27.479338842975203
Jalna,880,21.40681818181818,5.0,18838.0,15.0,37.27272727272727
Kolhapur,2464,23.452516233766232,4.0,57787.0,21.550324675324674,31.939935064935064
Latur,1608,267.07151741293535,13.0,429451.0,13.619402985074627,24.75124378109453
Mumbai,8760,13.033333333333333,2.0,114172.0,42.214611872146115,22.636986301369863
Mumbai Suburban,176,29.84090909090909,4.0,5252.0,28.40909090909091,23.863636363636363
Nagpur,3168,13.97411616161616,2.0,44270.0,26.483585858585855,39.8989898989899
Nanded,1768,20.0158371040724,4.0,35388.0,25.1131221719457,29.694570135746606
Nandurbar,528,331.9261363636364,14.0,175257.0,8.522727272727272,24.810606060606062
Nashik,3512,14.178246013667426,2.0,49794.0,38.382687927107064,26.679954441913438
Osmanabad,704,18.163352272727273,5.0,12787.0,13.494318181818182,38.21022727272727
Palghar,1888,7.586864406779661,1.0,14324.0,40.73093220338983,33.103813559322035
Parbhani,1232,26.131493506493506,5.0,32194.0,12.256493506493507,40.909090909090914
Pune,9680,22.559194214876033,5.0,218373.0,16.766528925619834,33.90495867768595
Raigarh,1936,9.820764462809917,3.0,19013.0,17.40702479338843,44.47314049586777
Ratnagiri,528,20.331439393939394,7.0,10735.0,18.75,30.492424242424242
Sangli,2808,17.1755698005698,4.0,48229.0,22.257834757834758,33.22649572649573
Satara,2288,16.013111888111887,2.0,36638.0,37.06293706293706,26.923076923076923
Sindhudurg,704,9.998579545454545,1.0,7039.0,44.74431818181818,23.72159090909091
Solapur,3880,21.989175257731958,5.0,85318.0,14.664948453608249,37.0360824742268
Thane,5160,12.028682170542636,2.0,62068.0,28.313953488372096,33.43023255813954
Wardha,704,12.762784090909092,4.0,8985.0,18.75,37.35795454545455
Washim,704,6.9446022727272725,0.0,4889.0,51.70454545454546,29.545454545454547
Yavatmal,1056,20.105113636363637,5.0,21231.0,20.643939393939394,29.734848484848484
