district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Ahmadnagar,A+,407,31.159705159705158,24.0,12682.0,14.004914004914005,7.371007371007371
Ahmadnagar,A-,407,1.9950859950859952,1.0,812.0,37.34643734643734,55.28255528255528
Ahmadnagar,AB+,407,19.147420147420146,15.0,7793.0,14.250614250614252,12.776412776412776
Ahmadnagar,AB-,407,0.7960687960687961,0.0,324.0,57.24815724815725,41.76904176904177
Ahmadnagar,B+,407,37.764127764127764,20.0,15370.0,13.022113022113022,6.388206388206388
Ahmadnagar,B-,407,1.7862407862407863,1.0,727.0,42.26044226044226,50.61425061425061
Ahmadnagar,O+,407,44.614250614250615,39.0,18158.0,13.267813267813267,6.388206388206388
Ahmadnagar,O-,407,2.213759213759214,2.0,901.0,38.82063882063882,50.122850122850124
Akola,A+,144,21.63888888888889,8.0,3116.0,18.75,24.305555555555554
Akola,A-,144,3.8472222222222223,2.0,554.0,27.083333333333332,55.55555555555556
Akola,AB+,144,13.20138888888889,13.0,1901.0,17.36111111111111,11.805555555555555
Akola,AB-,144,1.4652777777777777,1.0,211.0,33.33333333333333,66.66666666666666
Akola,B+,144,32.84722222222222,17.0,4730.0,18.055555555555554,11.11111111111111
Akola,B-,144,2.5416666666666665,1.0,366.0,33.33333333333333,59.72222222222222
Akola,O+,144,45.86805555555556,25.0,6605.0,16.666666666666664,4.166666666666666
Akola,O-,144,2.125,2.0,306.0,36.80555555555556,55.55555555555556
Amravati,A+,218,26.146788990825687,15.0,5700.0,0.9174311926605505,12.844036697247708
Amravati,A-,218,1.9403669724770642,1.0,423.0,40.36697247706422,50.917431192660544
Amravati,AB+,218,12.637614678899082,11.5,2755.0,0.45871559633027525,34.403669724770644
Amravati,AB-,218,0.5596330275229358,0.0,122.0,59.174311926605505,40.825688073394495
Amravati,B+,218,34.08256880733945,23.0,7430.0,0.45871559633027525,13.761467889908257
Amravati,B-,218,2.9403669724770642,3.0,641.0,8.715596330275229,83.94495412844036
Amravati,O+,218,48.31651376146789,38.0,10533.0,2.293577981651376,0.45871559633027525
Amravati,O-,218,2.1605504587155964,1.0,471.0,29.357798165137616,61.92660550458715
Aurangabad,A+,336,47.25,29.0,15876.0,3.869047619047619,9.523809523809524
Aurangabad,A-,336,1.994047619047619,1.0,670.0,41.07142857142857,51.78571428571429
Aurangabad,AB+,336,22.464285714285715,18.0,7548.0,5.952380952380952,17.857142857142858
Aurangabad,AB-,336,1.3154761904761905,0.0,442.0,55.952380952380956,37.797619047619044
