blood_group,donor_code,donor_name,recipient_code,recipient_name,distance_km,donor_surplus,recipient_deficit,recommended_units,priority_score
A+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",283795,Autus Blood Centre,0.0,17,5,5,5.0
A+,284433,"Ayush Blood Centre, Vaduj, Tal. Khatav, Dist. Satara",284509,Sankalp Blood Centre,0.0,55,5,5,5.0
A+,284358,"Poona Medical Relief And Research Foundation, Kai Madhukar Sakharam Bidkar  Blood Centre, Pune",283795,Autus Blood Centre,0.0,30,5,5,5.0
A+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,283795,Autus Blood Centre,0.0,18,5,5,5.0
A+,18084,Chakan Blood Centre,283795,Autus Blood Centre,0.0,73,5,5,5.0
A+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,283795,Autus Blood Centre,0.0,60,5,5,5.0
A+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,283795,Autus Blood Centre,0.0,52,5,5,5.0
A+,280146,Blood Centre Shri Vasantrao Naik  Govt. Medical College And Hospital,18275,Shri Gajanan Blood Centre And Components,0.10732525255374414,39,5,5,4.5153851485540155
A+,280130,"Indian Red Cross Society, Dr. Shirgaonkar Blood Centre",280131,"Padma Bhushan Vasantdada Patil (Civil Surgeon), Govt. General Hospital Blood  Centre, Sangli",0.1419680964380893,15,5,5,4.3784060304271994
A+,283233,Kurduwadi Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,32,4,4,4.0
A+,283290,Jijai Blood Centre Components Laboratory And Apheresis Centre C,283289,Mahatma Basaveshwar Blood Centre,0.0,59,4,4,4.0
A+,283287,Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,52,4,4,4.0
A+,283142,Samarpan Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,30,4,4,4.0
A+,283261,The Yugantar Education Society S Nashikrao Tirpude Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,26,4,4,4.0
A+,283198,Riddhi Vinayak Hospital Services Public Charitable Trust Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,5,4,4,4.0
A+,283298,Ved Medical Foundation Pune Vita Blood Centre,283289,Mahatma Basaveshwar Blood Centre,0.0,38,4,4,4.0
A+,282741,"Jeevandai Blood Centre, Components And Apheresis Centre Beed",283289,Mahatma Basaveshwar Blood Centre,0.0,48,4,4,4.0
A+,18176,"Late. Dr. G.M. Bhavsar Charitable TrustS,Malegaon Blood Centre",281039,General Hospital Malegaon Blood Centre,0.2760435989590427,22,5,5,3.9183614134178857
A+,18185,Navjeevan Blood Centre Mangaed By Spvf,18183,"Mahatma Gandhi Blood Centre,  Operated By Task",0.07439685712531423,14,4,4,3.7230190813313713
A+,18016,K.E.M. Hospital Blood Centre,27107,TATA MEMORIAL CENTRE-ACTREC,0.38638441968572185,12,5,5,3.606503311061044
A+,18123,Rajarshi Shahu Indian Red Cross Blood Centre,18132,Jeevandhara Blood Centre,0.4696094301882664,35,5,5,3.40226450463064
A+,18149,Laksh Foundation New Arpan Voluntary Blood Centre Ahmednagar,18178,"Medical Superintendent, Regional Referal Hospital Blood Bank,(Superspeciality  Hospital) Nashik",0.4825439515185779,22,5,5,3.3725812950627687
A+,18102,"Krishna Hospital And Medical Research Centre, Blood Centre",280133,"S. S.Venutai Y. Chavan Sub-District Hospital, Blood Centre Karad",0.48625025531844274,65,5,5,3.364170994829336
A+,282612,Red Plus Blood Center Jalgaon,18160,Jeevan Surabhi Blood Centre,0.5094529622722724,5,5,5,3.3124583044132705
A+,18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",18109,"Indian Red Cross Society Blood Centre, Bai Gopabai Damani Blood Centre,  Solapur",0.536594660367519,24,5,5,3.2539485714496186
A+,18138,Jankalyan Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,0.5539374800028637,41,5,5,3.2176326682015457
A+,27120,Sasoon Blood Centre Pune,283795,Autus Blood Centre,0.2653462727913619,4,5,4,3.161190012577327
A+,18203,"Jai Matadi Bahuuddeshiya Sevabhavi Sasthas Guru Gobindsinghji Blood Centre,  Blood Comp And Aphs Nand",27131,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre  Nanded,0.6356221236738548,152,5,5,3.0569407980183363
A+,18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,27107,TATA MEMORIAL CENTRE-ACTREC,0.6646199387662158,13,5,5,3.003688640006261
A+,284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi,  Dist. Thane",0.0,23,3,3,3.0
A+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",282733,Rotary Blood Centre,0.0,17,3,3,3.0
A+,284358,"Poona Medical Relief And Research Foundation, Kai Madhukar Sakharam Bidkar  Blood Centre, Pune",282733,Rotary Blood Centre,0.0,30,3,3,3.0
A+,284350,Manipal Hospitals Pvt Ltd Blood Centre,282733,Rotary Blood Centre,0.0,3,3,3,3.0
A+,284350,Manipal Hospitals Pvt Ltd Blood Centre,283795,Autus Blood Centre,0.0,3,5,3,3.0
A+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,282733,Rotary Blood Centre,0.0,18,3,3,3.0
A+,18084,Chakan Blood Centre,282733,Rotary Blood Centre,0.0,73,3,3,3.0
A+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,282733,Rotary Blood Centre,0.0,60,3,3,3.0
A+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,282733,Rotary Blood Centre,0.0,52,3,3,3.0
A+,282577,"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi,  Dist. Thane",0.0,41,3,3,3.0
A+,282570,Sankalp Blood Centre,284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi,  Dist. Thane",0.0,25,3,3,3.0
