blood_group,donor_code,donor_name,donor_district,recipient_code,recipient_name,recipient_district,distance_km,optimized_units,transport_km_units
A+,282598,Dnyandeep Blood Center Of Modern Institute Of Technology,Solapur,27119,"Blood Bank Civil Hospital, Solapur",Solapur,0.002463,1,0.002463
A+,18185,Navjeevan Blood Centre Mangaed By Spvf,Thane,18183,"Mahatma Gandhi Blood Centre,  Operated By Task",Thane,0.074397,4,0.297588
A+,280146,Blood Centre Shri Vasantrao Naik  Govt. Medical College And Hospital,Yavatmal,18275,Shri Gajanan Blood Centre And Components,Yavatmal,0.107325,5,0.536627
A+,280130,"Indian Red Cross Society, Dr. Shirgaonkar Blood Centre",Sangli,280131,"Padma Bhushan Vasantdada Patil (Civil Surgeon), Govt. General Hospital Blood  Centre, Sangli",Sangli,0.141968,5,0.709841
A+,18229,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,Gondiya,27152,Bai Gangabai Ladies Hospital Blood Centre Gondiya,Gondiya,0.251092,2,0.502183
A+,284844,"Civil Hospital Palghar Blood Centre, Palghar",Palghar,280142,"Maharashtra Bloodbank, Component And Apheresis Center",Palghar,0.260878,3,0.782634
A+,27120,Sasoon Blood Centre Pune,Pune,283795,Autus Blood Centre,Pune,0.265347,4,1.061387
A+,18176,"Late. Dr. G.M. Bhavsar Charitable TrustS,Malegaon Blood Centre",Nashik,281039,General Hospital Malegaon Blood Centre,Nashik,0.276044,5,1.38022
A+,280723,Mahalakshmi Blood Centre,Satara,18105,Yashwantrao Chavan Blood Centre,Satara,0.31787,1,0.31787
A+,18243,"Indian Red Cross Society Blood Centre, Nanded",Nanded,27131,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre  Nanded,Nanded,0.34465,2,0.6893
A+,18043,Poona Serological Institute Blood Centre,Pune,18071,Kem Hospital Blood Centre,Pune,0.374317,2,0.748634
A+,18016,K.E.M. Hospital Blood Centre,Mumbai,27107,TATA MEMORIAL CENTRE-ACTREC,Mumbai,0.386385,5,1.931925
A+,18189,Jupiter Hospital Blood Centre,Thane,284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi,  Dist. Thane",Thane,0.461655,3,1.384965
A+,18123,Rajarshi Shahu Indian Red Cross Blood Centre,Kolhapur,18132,Jeevandhara Blood Centre,Kolhapur,0.46961,5,2.34805
A+,18168,Arpan Blood Centre And Blood Component Laboratory And Research Centre Nashik,Nashik,18178,"Medical Superintendent, Regional Referal Hospital Blood Bank,(Superspeciality  Hospital) Nashik",Nashik,0.482127,2,0.964255
A+,18149,Laksh Foundation New Arpan Voluntary Blood Centre Ahmednagar,Ahmadnagar,18178,"Medical Superintendent, Regional Referal Hospital Blood Bank,(Superspeciality  Hospital) Nashik",Nashik,0.482545,3,1.447634
A+,18102,"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,280133,"S. S.Venutai Y. Chavan Sub-District Hospital, Blood Centre Karad",Satara,0.486251,5,2.431255
A+,18289,Rainbow Blood Centre,Nagpur,18285,Sainath Blood Centre,Nagpur,0.502458,4,2.009834
A+,18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,18109,"Indian Red Cross Society Blood Centre, Bai Gopabai Damani Blood Centre,  Solapur",Solapur,0.536595,5,2.682977
A+,18230,Jeevandhara Buldana Urban Blood Centre Run And Managed By Shree Charitable  Trust,Buldana,18117,Leelavati Blood Centre,Buldana,0.537485,3,1.612454
A+,18138,Jankalyan Blood Centre,Ahmadnagar,18141,Ahmednagar Municipal Council Blood Centre,Ahmadnagar,0.553938,5,2.769691
A+,18203,"Jai Matadi Bahuuddeshiya Sevabhavi Sasthas Guru Gobindsinghji Blood Centre,  Blood Comp And Aphs Nand",Nanded,27131,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre  Nanded,Nanded,0.635623,3,1.906869
A+,18044,Bandra Holly Family Hospital Society Blood Centre,Mumbai,18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",Mumbai,0.718449,5,3.592243
A+,18022,Sir H N Hospital And Research Centre Blood Centre,Mumbai,18007,Saifee Hospital Trust Blood Centre,Mumbai,0.736401,5,3.682003
A+,18179,"Nashik Blood Bank And Transfusion Research Institute Blood Bank(Jijau Mahila  Sewabhavi Sanstha, Nash",Nashik,18169,Civil Hospital Blood Centre Nashik,Nashik,0.757982,3,2.273946
A+,27146,"Govt. Medical College Blood Centre, Nagpur",Nagpur,18290,Dean Government Medical College And Super Speciality Hospital Blood Centre,Nagpur,0.765102,5,3.825508
A+,27127,"Blood Centre, Govt.Medical College, General Hospital Latur",Latur,18236,"Indian Red Cross Society, Dr. Bhalchandra Blood Centre",Latur,0.77397,3,2.32191
A+,18098,"Akshay Blood Centre, Miraj",Sangli,18091,Smt. Anila Kantilal Kothari Blood Centre And Dept. Of Hemato Oncology,Sangli,0.853079,2,1.706157
A+,280757,Nh Srcc ChildrenS Hospital Blood Centre,Mumbai,18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,0.910436,3,2.731309
