origin_code,origin_bank,origin_district,blood_group,origin_stock,alternative_code,alternative_bank,alternative_district,alternative_stock,predicted_stockout_probability,alternative_bbri,distance_km,decision_support_score,rank
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18044,Bandra Holly Family Hospital Society Blood Centre,Mumbai,39.0,0.0027194767596054686,9.8256994681207,9.463063,62.04109,1
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18003,"Byl Nair Hospital, Blood Centre",Mumbai,45.0,0.004585424276999,17.120658897929186,1.342903,61.669823,2
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,29.0,0.0031106736674077315,15.246926098877958,8.964137,60.927445,3
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,27154,"Sir, J.J. Group Hospital Blood Centre, Byculla Mumbai",Mumbai,46.0,0.0023809101981626863,21.479116573751003,2.696184,60.681422,4
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai, ",Mumbai,47.0,0.004850928445706481,14.419171720814532,13.88165,60.548879,5
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18031,"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,42.0,0.0023050908023547648,17.498391285731433,9.835665,60.493074,6
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18030,K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,73.0,0.007464482244542575,18.100022455884638,10.815823,60.380119,7
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280757,Nh Srcc ChildrenS Hospital Blood Centre,Mumbai,18.0,0.0062466626399563015,28.03072540756064,0.910436,59.271355,8
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18005,Breach Candy Hospital Trust Blood Centre,Mumbai,12.0,0.011554176483279796,28.47575407478048,0.583569,59.041557,9
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,16.0,0.005297817257857913,29.565697140193056,4.457094,58.497965,10
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18049,Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,14.0,0.009846655957403349,23.70184056639698,16.836985,57.889135,11
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18039,Lilavati Hospital And Research Centre Blood Centre,Mumbai,27.0,0.0027320367084069596,33.07614422563941,9.039111,57.343842,12
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18045,"Dr. L. H. Hiranandani Hospital, Blood Centre",Mumbai,13.0,0.008148141000138477,24.559686776028258,20.015676,57.327589,13
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18189,Jupiter Hospital Blood Centre,Thane,18.0,0.007260410398587178,18.711704842047816,29.630638,57.280455,14
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282577,"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,20.0,0.00828516552139545,21.887112426551397,29.943306,56.595294,15
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18040,Sant Nirankari Blood Centre,Mumbai Suburban,28.0,0.006020206228688378,32.811597846729704,15.441356,56.469529,16
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18035,"Sushilaben R. Mehta And Sir. Kikabai Cardiac Institute, Blood Centre",Mumbai,25.0,0.0030254321021600497,38.08299003379043,8.537473,56.384795,17
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18037,Deepak Foundations Anviksha Blood Centre,Mumbai,24.0,0.00737998894461146,32.75115363030619,15.829846,56.361367,18
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18052,Holy Spirit Hospital Blood Centre,Mumbai,22.0,0.004377735324478185,32.88530704755652,18.414109,56.047796,19
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,13.0,0.022926701449078414,37.82364869686654,7.052412,56.033767,20
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18042,"Matoshri Valbai Mulji Shah, Arpan Blood Centre",Mumbai,10.0,0.015233298890664214,28.759283902828916,23.017886,55.884403,21
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18247,Navjivan Blood Centre Mged By Saraswati Vidyaprasarak Foundation,Mumbai,47.0,0.0025132312157639318,27.8606469730159,29.407782,55.848875,22
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18188,M/S Balasaheb Thackerey Blood Centre,Mumbai,4.0,0.03358675391173084,31.21286155323512,19.394784,55.366245,23
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,27116,"Blood Bank Civil Hospital, Alibag",Raigarh,22.0,0.004377735324478185,24.73845144181908,37.370891,55.149596,24
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18034,"Seth V.C.Gandhi And M.A.Vora Municipal General Hospital, Rajawadi ,Ghatkopar",Mumbai,26.0,0.018438611837401024,38.561704341870815,15.372834,55.000955,25
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18190,Kai Wamanrao Oka Rakta Kendra,Thane,17.0,0.005282561008840632,30.536771202308334,29.635004,54.955691,26
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18199,"Navi Mumbai Muncipal Corporation, Blood Centre",Thane,11.0,0.014891259155046521,34.57036266476715,23.144056,54.722529,27
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18216,Rotary Club New Panvel Charitable  Trust S Late Dr. B.V. Limaye Blood Centre,Raigarh,15.0,0.019780863479267285,29.56503487976359,31.633773,54.50385,28
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,27107,TATA MEMORIAL CENTRE- TATA MEMORIAL HOSPITAL,Mumbai,5.0,0.09266106534142235,37.87679623812655,5.067246,54.475553,29
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18022,Sir H N Hospital And Research Centre Blood Centre,Mumbai,14.0,0.020969757582309286,49.65445403453015,1.777426,54.428476,30
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18016,K.E.M. Hospital Blood Centre,Mumbai,15.0,0.0069634843716646425,50.32393795448812,4.725414,54.260285,31
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280145,Terna Blood Centre,Thane,29.0,0.004070688301260452,40.39955972018171,22.777939,54.031078,32
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18023,Shushrusha Citizens Co-Op Hospital Blood Centre,Mumbai,30.0,0.004274870041241641,51.710292592743535,6.445048,53.95016,33
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18050,Sevenhills Healthcare Private Limited Hospital Blood Centre,Mumbai,11.0,0.0101134240873236,42.85792092102135,17.755919,53.902882,34
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18187,Chhatrapati Shivaji Maharaj Hospital Blood Centre Csm,Thane,17.0,0.017302586936777685,33.57539286348652,30.780854,53.894686,35
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18186,Lokamanya Tssia  Blood Centre,Thane,29.0,0.011261738225034745,36.63321379089526,28.995142,53.77561,36
