rank,hospital_code,blood_bank_name,district,city,O+,distance_km,BBRI,risk_class,availability_score,distance_score,reliability_score,recommendation_score
1,284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai,",Mumbai,Mumbai,221,0.28737804880951995,5.77049848694194,Low Risk,100.0,99.42524390238096,94.22950151305805,97.7504230905227
2,18031,"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,Mumbai,51,3.8705957569567215,12.516959529744199,Low Risk,100.0,92.25880848608656,87.4830404702558,92.52258755902416
3,18030,K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,Mumbai,14,3.2078821259611274,15.438306631088054,Low Risk,100.0,93.58423574807775,84.56169336891195,92.03028697835028
4,18034,"Seth V.C.Gandhi And M.A.Vora Municipal General Hospital, Rajawadi ,Ghatkopar",Mumbai,Ghatkopar,22,2.5476187788410924,20.37764089070779,Low Risk,100.0,94.90476244231782,79.6223591092922,90.8297306651794
5,18035,"Sushilaben R. Mehta And Sir. Kikabai Cardiac Institute, Blood Centre",Mumbai,Mumbai,36,5.207710048491806,14.765838096136694,Low Risk,100.0,89.58457990301639,85.23416190386331,90.66578862755871
6,18044,Bandra Holly Family Hospital Society Blood Centre,Mumbai,Mumbai,39,5.785598345584666,13.62867945878348,Low Risk,100.0,88.42880330883067,86.37132054121652,90.60148351295805
7,18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,31,4.940435743413744,17.735841549341075,Low Risk,100.0,90.11912851317251,82.26415845065893,89.84010686299963
8,18037,Deepak Foundations Anviksha Blood Centre,Mumbai,Mumbai,39,2.9099395291294843,24.39085710061437,Low Risk,100.0,94.18012094174102,75.60914289938563,89.13524839148138
9,18188,M/S Balasaheb Thackerey Blood Centre,Mumbai,Mumbai,46,7.646441516274723,14.957366973757878,Low Risk,100.0,84.70711696745056,85.04263302624213,88.64776834616497
10,18049,Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,Mumbai,13,5.9324089107905,19.61526700832519,Low Risk,100.0,88.135182178419,80.38473299167481,88.38872941845378
