requester_code,requester_name,district,city,blood_group,required_units,radius_km,alternative_count,best_distance_km,best_BBRI,best_score,alternative_available
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,A+,5,50,5,2.4558907128169425,14.37877852199705,93.00271494704748,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,A-,5,50,5,2.4558907128169425,14.37877852199705,93.00271494704748,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,B+,5,50,5,2.4558907128169425,14.37877852199705,93.00271494704748,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,B-,5,50,5,4.522993073735427,13.021391943867474,91.82411836065803,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,O+,5,50,5,2.4558907128169425,14.37877852199705,93.00271494704748,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,O-,5,50,5,3.718694654826967,13.38280069075897,92.3410640343728,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,AB+,5,50,5,2.4558907128169425,14.37877852199705,93.00271494704748,1
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,AB-,5,50,1,12.647972090069077,13.62867945878348,85.11158451737052,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,A+,5,50,3,47.878640391086456,15.52095960738408,56.26475182454641,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,A-,5,50,2,47.878640391086456,15.52095960738408,56.26475182454641,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,B+,5,50,3,47.878640391086456,15.52095960738408,56.26475182454641,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,B-,5,50,1,48.394947807443145,14.698140324950224,56.1396926403129,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,O+,5,50,3,47.878640391086456,15.52095960738408,56.26475182454641,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,O-,5,50,0,,,,0
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,AB+,5,50,3,47.878640391086456,15.52095960738408,56.26475182454641,1
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,AB-,5,50,0,,,,0
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,A+,5,50,5,3.3713894483402744,13.38280069075897,92.61890819956214,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,A-,5,50,5,4.101046403144888,14.37877852199705,91.68659039478511,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,B+,5,50,5,3.3713894483402744,13.38280069075897,92.61890819956214,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,B-,5,50,5,3.660904689904888,13.021391943867474,92.51378906772248,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,O+,5,50,5,3.3713894483402744,13.38280069075897,92.61890819956214,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,O-,5,50,5,3.3713894483402744,13.38280069075897,92.61890819956214,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,AB+,5,50,5,3.3713894483402744,13.38280069075897,92.61890819956214,1
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Mumbai,AB-,5,50,1,6.374877605633519,13.62867945878348,90.13006010491895,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,A+,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,A-,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,B+,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,B-,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,O+,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,O-,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,AB+,5,50,5,2.97580870431962,12.5169595297442,93.23841720113384,1
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,AB-,5,50,1,2.6785489790358072,13.62867945878348,93.08712300619716,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,A+,5,50,4,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,A-,5,50,2,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,B+,5,50,4,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,B-,5,50,1,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,O+,5,50,4,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,O-,5,50,0,,,,0
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,AB+,5,50,4,12.317641463727211,14.698140324950224,85.00153771528565,1
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Amravati,AB-,5,50,0,,,,0
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,A+,5,50,3,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,A-,5,50,1,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,B+,5,50,3,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,B-,5,50,0,,,,0
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,O+,5,50,3,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,O-,5,50,0,,,,0
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,AB+,5,50,2,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,AB-,5,50,0,,,,0
