hospital_code,blood_bank_name,district,city,area,observations,stockout_frequency,low_stock_frequency,stock_volatility,stockout_score,low_stock_score,volatility_score,BBRI,risk_class,recovery_rate,recovery_score
18275,Shri Gajanan Blood Centre And Components,Yavatmal,Yavatmal,Bajaj Satkar Bhavan,15,0.9583333333333331,0.0416666666666666,0.1669010724778589,95.83333333333331,5.102040816326531,0.0328873094031967,50.24206536476576,High Risk,0.0,100.0
18264,"Medical Supritendant District-Hospital For Women, Blood Centre(C.S)",Akola,Akola,Akola,15,0.9833333333333334,0.0166666666666666,0.0645497224367902,98.33333333333334,2.0408163265306123,0.0127193112791459,50.09671724278577,High Risk,0.0,100.0
18178,"Medical Superintendent, Regional Referal Hospital Blood Bank,(Superspeciality Hospital) Nashik",Nashik,Nashik,Shalimar Chowk,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18033,Bhabha Atomic Research Centre Hospital Blood Centre,Mumbai,Mumbai,Anushakti Nagar,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
280131,"Padma Bhushan Vasantdada Patil (Civil Surgeon), Govt. General Hospital Blood Centre, Sangli",Sangli,Sangli,Govt. Genera,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18279,"Medical Superitendant, Saibai Mote General Hospital Blood Centre, Shegaon",Buldana,Shegaon,Shegaon,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18206,Tarapure Automic Power Station Hospital Blood Centre,Palghar,Boisar,Palghar,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18170,"Medical Superitendant, J.D.C. Bytco Hospital Blood Centre",Nashik,Nashik,Nashik Road,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
27109,District General Hospital Blood Bank Satara,Satara,Satara,Sadar,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
27133,Daga Memorial Women Govt. Hospital Blood Centre Nagpr,Nagpur,Nagpur,Gandhibag,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
27130,"Medical Supritentent Sub-District (Rural) Hospital Blood Centre, Gadchiroli Aheri",Gadchiroli,Aheri,Gadchiroli,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18117,Leelavati Blood Centre,Buldana,Buldhana,John Lay Out,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18165,"Ansar Blood Centre, Malegaon",Nashik,Malegaon,Islampura,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18160,Jeevan Surabhi Blood Centre,Jalgaon,Chalisgaon,Jalgaon,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18159,Jeevanshri Raktapedi,Jalgaon,Jalgaon,Amalner,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18158,Indian Red Cross Society Sanchalit Askaran Tarachand Jain Blood Centre,Jalgaon,Chopda,Jalgaon,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18172,Sainik Aspatal Military Hospital Blood Centre,Nashik,Deolali,Devlali Nashik,14,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18278,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Centre,Buldana,Malkapur,Malkapur,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18276,"Medical Superitendant, Government Hospital Blood Centre(Khamgaon)",Buldana,Khamgaon,Shegaon,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18051,V.N. Desai Municipal General Hospital Blood Centre,Mumbai,mumbai,Santacruz East,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
281039,General Hospital Malegaon Blood Centre,Nashik,Malegaon,Malegaon,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18077,Padmashree Dr.D.Y Patil (Vishweshwar) Blood Centre,Pune,Pune,Sant,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
280133,"S. S.Venutai Y. Chavan Sub-District Hospital, Blood Centre Karad",Satara,Karad,Budhwar Peth,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
27150,"Sub -Dist Cottage Hospital, Blood Centre , Sawantwadi, Sindhudurg",Sindhudurg,Sawantwadi,Sindhudurg,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18059,Bharatratna Dr Babasaheb Ambedkar Mun. Gen. Hospital Blood Centre,Mumbai,MUMBAI,First F,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
27128,Patangshah Cottage Hospital Blood Centre Jawhar Palghar,Palghar,Jawhar,Palghar,10,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",Mumbai,Mumbai,Bandra,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
284498,Shri Gajanan Blood Centre,Washim,Washim,Washim,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18088,Cristanand Education Society Blood Centre,Chandrapur,Brahmapuri,Brahmapuri,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18087,"Sarvodaya Samaj Vikas Sanstha,  R.G Gholap Memorial Blood Centre",Pune,Pune,Pune S,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
280738,Superitendent Gokuldas Tejpal Hospital,Mumbai,Mumbai,L.T.,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,Mumbai,Mumbai Cst,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18141,Ahmednagar Municipal Council Blood Centre,Ahmadnagar,Ahmednagar,Asha Theatre,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18290,Dean Government Medical College And Super Speciality Hospital Blood Centre,Nagpur,Nagpur,Ajni,15,1.0,0.0,0.0,100.0,0.0,0.0,50.0,Moderate Risk,0.0,100.0
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,Marine Lines,15,0.9916666666666668,0.0083333333333333,0.0322748612183951,99.16666666666669,1.020408163265306,0.0063596556395729,49.80797400600827,Moderate Risk,0.0096153846153846,99.03846153846156
27107,TATA MEMORIAL CENTRE-ACTREC,Mumbai,Mumbai,Parel,15,0.8583333333333334,0.1416666666666666,1.141206120039324,85.83333333333334,17.346938775510203,0.2248709262640229,49.68651303150416,Moderate Risk,0.0465909090909091,95.3409090909091
18196,Ishwar Seva Trusts Dombivali Blood Center,Thane,Dombivli,Dombivli,15,0.7249999999999999,0.2416666666666667,2.128100173036992,72.49999999999999,29.59183673469388,0.4193351653923535,49.432243732597314,Moderate Risk,0.0478219696969696,95.21780303030305
18140,Shri Sainath Blood Centre,Ahmadnagar,Shirdi,Rahata,15,0.975,0.0166666666666666,0.3318280999876377,97.5,2.0408163265306123,0.0653856397143047,49.380717158227895,Moderate Risk,0.0208333333333333,97.91666666666666
18009,Bombay Red Cross Blood Centre,Mumbai,Mumbai,Fort,15,0.975,0.0166666666666666,0.484122918275927,97.5,2.0408163265306123,0.0953948345935949,49.187898944127205,Moderate Risk,0.0288461538461538,97.1153846153846
18002,The B.D. Petit Parsee General Hospital Bsu,Mumbai,Mumbai,Grant Road,15,0.7833333333333333,0.2166666666666666,0.2850045846583094,78.33333333333333,26.53061224489796,0.0561592194575672,48.65190119942221,Moderate Risk,0.103125,89.6875
283795,Autus Blood Centre,Pune,Pune,Dehu Road,15,0.1416666666666666,0.5166666666666667,3.7845520714034215,14.166666666666666,63.26530612244898,0.745733583834609,44.54442659323756,Moderate Risk,0.0,100.0
27174,MGM College Nerul Blood Centre,Thane,Thane,Belapur,14,0.8125,0.0625,0.412820815799272,81.25,7.653061224489796,0.0813449889548901,44.12110155336117,Moderate Risk,0.125,87.5
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,Byculla,15,0.6666666666666665,0.1833333333333333,3.4548544265700376,66.66666666666666,22.44897959183674,0.680767743327028,43.81679830565241,Moderate Risk,0.1452922077922078,85.4707792207792
285061,Pachpande Multispeciality Hospital Blood Storage Center,Jalgaon,muktainagar,Jalgaon,15,0.6000000000000001,0.3916666666666667,0.9010089166480096,60.00000000000001,47.9591836734694,0.1775408544530063,43.57063946531393,Moderate Risk,0.3385416666666666,66.14583333333334
18099,"Akshay Medical Trust, Akshay Blood Centre",Satara,Satara,Sadar,15,0.6833333333333333,0.25,3.748550533275888,68.33333333333333,30.612244897959183,0.7386395987222709,43.45866268261192,Moderate Risk,0.258495670995671,74.1504329004329
18267,Sau. Kantadevi Dale Blood Centre,Washim,Washim,Washim,15,0.5583333333333333,0.4083333333333334,3.715687513533161,55.833333333333336,50.000000000000014,0.7321640483728518,43.24393844799065,Moderate Risk,0.3358974358974359,66.41025641025641
18173,DevaS Health And Devlopment Foundation Samta Blood Centre,Nashik,Nashik,Govind Nagar,15,0.6583333333333333,0.225,2.622996270405152,65.83333333333333,27.551020408163268,0.5168528196227683,42.438369822098025,Moderate Risk,0.2414772727272727,75.85227272727273
285275,"Pushplata D.Y.Patil Hospital & Research Centre Blood Centre, Maval, Pune",Pune,Pune,Pushplata D.Y.Patil Hospi,15,0.4333333333333333,0.5249999999999999,1.380256965725022,43.333333333333336,64.28571428571428,0.271975112045719,42.313664773682426,Moderate Risk,0.3863636363636363,61.36363636363637
18243,"Indian Red Cross Society Blood Centre, Nanded",Nanded,Nanded,Vazirabad,15,0.6416666666666667,0.2583333333333333,2.2007331866872684,64.16666666666667,31.632653061224485,0.4336472627164742,41.69555235371252,Moderate Risk,0.2945075757575757,70.54924242424244
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,Rajarampuri,15,0.7166666666666667,0.0666666666666666,11.58793998255145,71.66666666666667,8.16326530612245,2.2833656003163205,41.68217054712251,Moderate Risk,0.1538461538461538,84.61538461538461
18229,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,Gondiya,Gondia,Hanuman Ma,3,0.5,0.2083333333333333,16.817876981432146,50.0,25.51020408163265,3.313907547638037,41.58102790731768,Moderate Risk,0.125,87.5
284509,Sankalp Blood Centre,Satara,Satara,Satara,15,0.55,0.2249999999999999,6.567466121979941,55.00000000000001,27.55102040816326,1.2940976779955675,41.250105279115466,Moderate Risk,0.1884469696969697,81.15530303030303
284360,"Criticare Asia Hospital Blood Centre, Pvt. Ltd., Kurla (W), Mumbai",Mumbai,Mumbai,Kurla,15,0.5916666666666667,0.3,1.1128930360211002,59.16666666666666,36.734693877551024,0.2192919258391481,41.10748683546292,Moderate Risk,0.3169070512820512,68.30929487179486
280142,"Maharashtra Bloodbank, Component And Apheresis Center",Palghar,PALGHAR,Navli Railway Phatak,15,0.5,0.45,3.035060421510247,50.0,55.102040816326536,0.5980487102792328,41.08848392011298,Moderate Risk,0.4134615384615385,58.65384615384615
