district,blood_banks,average_BBRI,median_BBRI,highest_BBRI,BBRI_std,high_risk_banks,high_risk_bank_share,very_high_risk_banks,very_high_risk_bank_share,stockout_percent,low_stock_percent,DBARI,risk_class
Ahmadnagar,17,37.20596886642138,35.952083791930285,66.66666666666667,15.242891395728588,4,23.52941176470588,0,0.0,28.832547169811324,28.891509433962266,37.20596886642138,Moderate Risk
Akola,6,32.80436382139442,31.968570977832883,66.66666666666667,15.218270019286914,1,16.666666666666664,0,0.0,25.083333333333336,36.333333333333336,32.80436382139442,Moderate Risk
Amravati,10,33.6514954112026,26.50460650669139,62.075035433550084,15.351210812019124,2,20.0,0,0.0,17.841409691629956,37.5,33.6514954112026,Moderate Risk
Aurangabad,14,40.207016690588524,45.76389718387887,55.478414160587256,13.953720538549472,4,28.57142857142857,0,0.0,20.821428571428573,30.928571428571427,40.207016690588524,Moderate Risk
Beed,7,32.17250461596698,33.98124765755204,40.72769104619743,5.911494833197308,0,0.0,0,0.0,19.6656050955414,41.87898089171975,32.17250461596698,Moderate Risk
Bhandara,2,29.961919444731173,29.961919444731173,30.32436575310004,0.3624463083688685,0,0.0,0,0.0,17.0,34.75,29.961919444731173,Moderate Risk
Bid,6,33.98768435240259,33.37302428608597,44.303217354521735,7.80811408867963,0,0.0,0,0.0,15.277777777777779,53.47222222222222,33.98768435240259,Moderate Risk
Buldana,7,59.25685363046699,66.66666666666667,66.66666666666667,10.241813929069831,5,71.42857142857143,0,0.0,71.78571428571429,24.0,59.25685363046699,High Risk
Chandrapur,6,41.31118887704963,38.36322517519898,66.66666666666667,14.792397620424119,2,33.33333333333333,0,0.0,32.75,35.25,41.31118887704963,Moderate Risk
Dhule,7,35.25172151310544,34.12871271328092,52.4666257075545,12.420867994315293,2,28.57142857142857,0,0.0,12.785714285714286,41.785714285714285,35.25172151310544,Moderate Risk
Gadchiroli,3,48.488930998505914,41.56627213042251,66.66666666666667,12.974719439497422,1,33.33333333333333,0,0.0,53.333333333333336,22.166666666666668,48.488930998505914,Moderate Risk
Gondiya,2,60.469441092865985,61.50242365156012,66.07894187701099,5.054903130419843,3,150.0,0,0.0,53.30882352941176,35.661764705882355,60.469441092865985,High Risk
Hingoli,2,47.90969531766878,47.90969531766878,49.44211014473149,1.532414827062713,0,0.0,0,0.0,32.25,28.999999999999996,47.90969531766878,Moderate Risk
Jalgaon,11,40.9305152907107,29.9537000734317,66.66666666666667,17.5837146319072,3,27.27272727272727,0,0.0,44.09090909090909,27.500000000000004,40.9305152907107,Moderate Risk
Jalna,5,31.890019428250906,25.070126950783337,47.835009892460626,12.82211547393044,0,0.0,0,0.0,17.299999999999997,37.5,31.890019428250906,Moderate Risk
Kolhapur,14,32.254925284658476,29.86696986420814,64.9259469352537,11.60576579135639,1,7.142857142857142,0,0.0,21.17857142857143,32.392857142857146,32.254925284658476,Moderate Risk
Latur,10,27.014481798921178,26.437985552998363,58.92057071658733,14.850542488417364,1,10.0,0,0.0,13.980263157894738,24.780701754385966,27.014481798921178,Moderate Risk
