district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Ahmadnagar,AB-,356,17,0.8202247191011236,0.0,57.02247191011236,41.853932584269664,1.551456800007451,16.387844611528823,87.5,63.92857142857142,82.85714285714286,77.14285714285715,77.85714285714286,Critical
Aurangabad,A-,294,14,2.163265306122449,1.0,38.095238095238095,53.74149659863946,1.5412334341033502,5.142472658920028,73.21428571428571,77.14285714285715,81.78571428571428,89.64285714285715,80.44642857142857,Critical
Aurangabad,AB-,294,14,1.41156462585034,0.0,54.421768707483,38.435374149659864,1.6470809326747322,13.422243391283638,86.42857142857143,57.85714285714286,85.35714285714285,80.71428571428572,77.58928571428571,Critical
Bid,AB-,36,6,0.7222222222222222,0.0,58.333333333333336,41.66666666666667,1.289465739556939,6.158088235294118,90.89285714285714,63.57142857142857,69.28571428571428,88.57142857142857,78.08035714285714,Critical
Buldana,AB+,147,7,0.5578231292517006,0.0,59.863945578231295,40.136054421768705,1.4506557626061365,8.333333333333334,92.5,60.71428571428571,78.57142857142857,85.71428571428571,79.375,Critical
Buldana,B+,147,7,2.108843537414966,0.0,57.14285714285714,30.612244897959183,1.7111861875828713,0.0,88.39285714285714,51.42857142857142,88.57142857142857,96.78571428571429,81.29464285714285,Critical
Buldana,B-,147,7,0.3401360544217687,0.0,81.63265306122449,18.367346938775512,2.4126334160000362,13.636363636363637,97.5,36.07142857142857,95.35714285714286,80.35714285714286,77.32142857142857,Critical
Buldana,O+,147,7,1.7687074829931972,0.0,62.585034013605444,26.53061224489796,1.6448233300212667,7.5,94.28571428571428,48.035714285714285,85.0,86.78571428571429,78.52678571428571,Critical
Dhule,AB-,147,7,0.7210884353741497,0.0,53.06122448979592,46.93877551020408,1.3019551527034723,3.2051282051282053,85.35714285714285,68.92857142857143,70.35714285714286,91.42857142857143,79.01785714285714,Critical
Gadchiroli,A-,63,3,0.19047619047619047,0.0,85.71428571428571,14.285714285714285,2.622022120425379,2.7777777777777772,98.92857142857143,27.67857142857143,96.78571428571429,92.32142857142858,78.92857142857144,Critical
Hingoli,A-,42,2,0.19047619047619047,0.0,85.71428571428571,14.285714285714285,2.6220221204253793,5.88235294117647,98.92857142857143,27.67857142857143,97.14285714285714,88.92857142857142,78.16964285714286,Critical
Hingoli,AB-,42,2,0.6428571428571429,0.0,61.904761904761905,38.095238095238095,1.3922182317935186,3.125,93.57142857142857,57.49999999999999,75.71428571428571,91.78571428571428,79.64285714285714,Critical
Jalgaon,A-,231,11,0.9177489177489178,0.0,57.14285714285714,40.692640692640694,1.5164782560837444,12.566137566137565,88.39285714285714,61.78571428571429,80.0,81.78571428571428,77.99107142857143,Critical
Jalgaon,AB-,231,11,0.45454545454545453,0.0,66.23376623376623,33.76623376623377,1.62011169515003,11.774132730015081,95.0,53.92857142857142,84.28571428571429,82.85714285714286,79.01785714285714,Critical
Mumbai,A-,1045,52,1.5827751196172248,0.0,61.33971291866028,31.86602870813397,3.6397811386869767,15.421654716767499,93.21428571428572,52.142857142857146,98.57142857142858,78.21428571428571,80.53571428571429,Critical
Mumbai,AB-,1045,52,0.5282296650717704,0.0,74.54545454545455,25.454545454545453,2.0675250900290423,10.595585540228157,96.42857142857143,46.785714285714285,93.57142857142857,83.92857142857143,80.17857142857143,Critical
Nagpur,O-,378,18,5.201058201058201,1.5,36.24338624338625,56.08465608465608,6.874690240735154,24.09090909090909,70.35714285714286,81.07142857142857,100.0,65.35714285714286,79.19642857142858,Critical
Nashik,AB-,419,20,0.6539379474940334,0.0,63.961813842482094,35.79952267303103,1.7016303496574003,17.66297972180325,94.64285714285714,55.00000000000001,87.14285714285714,73.92857142857143,77.67857142857143,Critical
Palghar,AB-,225,11,0.25333333333333335,0.0,78.66666666666666,21.333333333333336,2.0479027850888123,12.302631578947368,97.14285714285714,41.42857142857143,93.21428571428572,82.5,78.57142857142857,Critical
Palghar,B-,225,11,0.8444444444444444,0.0,58.22222222222222,41.333333333333336,2.1700555924303475,4.544956140350877,90.0,62.857142857142854,94.28571428571428,90.0,84.28571428571428,Critical
Palghar,O-,225,11,1.9377777777777778,1.0,45.77777777777778,44.888888888888886,1.709529699543142,15.924438854489164,80.35714285714286,67.5,88.21428571428571,77.5,78.39285714285714,Critical
Ratnagiri,A-,63,3,1.2063492063492063,0.0,57.14285714285714,42.857142857142854,1.2889365153956271,2.7777777777777777,88.39285714285714,65.17857142857143,68.92857142857143,92.32142857142858,78.70535714285714,Critical
Sindhudurg,A-,84,4,1.2738095238095237,0.0,58.333333333333336,39.285714285714285,1.3777045040249074,2.5641025641025643,90.89285714285714,59.285714285714285,73.92857142857143,92.85714285714286,79.24107142857142,Critical
Sindhudurg,O-,84,4,1.0714285714285714,0.0,67.85714285714286,28.57142857142857,1.7208955463599418,2.380952380952381,95.35714285714286,50.357142857142854,88.92857142857142,93.21428571428572,81.96428571428572,Critical
