district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Ahmadnagar,A+,407,17,31.159705159705158,24.0,14.004914004914005,7.371007371007371,0.9155786804465212,37.33333333333333,32.857142857142854,13.571428571428571,22.142857142857142,43.92857142857143,28.125,Lower
Ahmadnagar,A-,407,17,1.9950859950859952,1.0,37.34643734643734,55.28255528255528,1.1679825290382186,34.72222222222222,70.0,78.92857142857143,55.35714285714286,47.67857142857143,62.99107142857143,Moderate
Ahmadnagar,AB+,407,17,19.147420147420146,15.0,14.250614250614252,12.776412776412776,0.8641711060553094,20.666666666666664,33.57142857142857,24.642857142857146,17.142857142857142,71.78571428571429,36.78571428571429,Lower
Ahmadnagar,AB-,407,17,0.7960687960687961,0.0,57.24815724815725,41.76904176904177,1.5555004399406938,14.05274550011392,87.85714285714286,63.57142857142857,77.85714285714286,82.14285714285714,77.85714285714286,Critical
Ahmadnagar,B+,407,17,37.764127764127764,20.0,13.022113022113022,6.388206388206388,1.1005131612890438,45.904761904761905,31.071428571428573,12.678571428571427,47.5,35.0,31.5625,Lower
Ahmadnagar,B-,407,17,1.7862407862407863,1.0,42.26044226044226,50.61425061425061,1.3925968334330132,31.762566137566136,77.14285714285715,73.57142857142858,71.07142857142857,55.714285714285715,69.375,High
Ahmadnagar,O+,407,17,44.614250614250615,39.0,13.267813267813267,6.388206388206388,0.8276578027060035,30.0,32.142857142857146,12.678571428571427,14.285714285714285,57.49999999999999,29.15178571428571,Lower
Ahmadnagar,O-,407,17,2.213759213759214,2.0,38.82063882063882,50.122850122850124,1.0508017890503407,25.89650687476774,71.07142857142857,72.85714285714285,41.785714285714285,63.57142857142857,62.32142857142857,Moderate
Akola,A+,144,6,21.63888888888889,8.0,18.75,24.305555555555554,1.2927237189418734,33.33333333333333,44.107142857142854,45.357142857142854,66.07142857142857,51.78571428571429,51.83035714285714,Lower
Akola,A-,144,6,3.8472222222222223,2.0,27.083333333333332,55.55555555555556,2.961624687574931,34.0,55.714285714285715,79.82142857142858,96.78571428571429,49.642857142857146,70.49107142857144,High
Akola,AB+,144,6,13.20138888888889,13.0,17.36111111111111,11.805555555555555,0.7558414259580103,50.0,37.857142857142854,23.214285714285715,10.357142857142858,28.035714285714285,24.86607142857143,Lower
