district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Ahmadnagar,AB-,339,17,0.8259587020648967,0.0,56.932153392330385,41.88790560471977,1.551546299137524,15.277777777777777,88.21428571428571,64.64285714285715,82.85714285714286,76.78571428571429,78.125,Critical
Ahmadnagar,B-,339,17,1.7728613569321534,1.0,42.772861356932154,50.442477876106196,1.4210098696500033,31.031746031746028,78.92857142857143,73.21428571428571,77.5,53.57142857142857,70.80357142857143,High
Akola,A-,120,6,3.85,2.0,29.166666666666668,56.666666666666664,3.2260203829336866,34.0,59.64285714285714,81.07142857142857,98.21428571428571,47.85714285714286,71.69642857142858,High
Akola,B-,120,6,2.7583333333333333,1.0,34.166666666666664,57.49999999999999,2.8027381005621343,32.222222222222214,68.21428571428572,83.03571428571429,97.85714285714285,50.357142857142854,74.86607142857142,High
Amravati,AB-,182,10,0.5164835164835165,0.0,60.43956043956044,39.56043956043956,1.3873906712256259,36.43518518518518,93.21428571428572,58.57142857142858,75.71428571428571,43.57142857142857,67.76785714285714,High
Aurangabad,A-,280,14,2.2285714285714286,1.0,37.142857142857146,54.285714285714285,1.5220006125369292,5.813492063492063,73.21428571428571,78.03571428571429,81.07142857142857,88.92857142857142,80.3125,Critical
Aurangabad,AB-,280,14,1.457142857142857,0.0,53.57142857142857,38.92857142857143,1.6227193204863202,13.680555555555554,85.71428571428571,57.85714285714286,84.28571428571429,77.85714285714286,76.42857142857142,High
Beed,AB-,110,7,1.4090909090909092,0.0,58.18181818181818,37.27272727272727,1.4008322188281408,9.0,89.64285714285715,56.42857142857143,76.78571428571429,83.92857142857143,76.69642857142858,High
Bid,AB-,30,6,0.7,0.0,60.0,40.0,1.3375782766845845,6.25,92.67857142857143,59.82142857142857,72.85714285714285,87.67857142857143,78.25892857142857,Critical
Buldana,A+,140,7,1.6785714285714286,0.0,57.85714285714286,34.285714285714285,1.7314234233926964,20.0,88.92857142857142,54.285714285714285,89.28571428571429,69.82142857142857,75.58035714285714,High
Buldana,A-,140,7,0.3,0.0,82.85714285714286,17.142857142857142,2.2782616597915597,16.3265306122449,97.85714285714285,33.39285714285714,94.64285714285714,75.35714285714286,75.3125,High
Buldana,AB+,140,7,0.5571428571428572,0.0,59.285714285714285,40.714285714285715,1.4274016061247978,10.0,92.14285714285714,61.42857142857143,77.85714285714286,83.21428571428572,78.66071428571428,Critical
Buldana,AB-,140,7,0.2642857142857143,0.0,85.71428571428571,14.285714285714285,2.5021539296776516,14.285714285714286,98.92857142857143,27.500000000000004,96.42857142857143,77.14285714285715,75.0,High
Buldana,B+,140,7,2.142857142857143,0.0,57.14285714285714,30.714285714285715,1.7005881335585051,0.0,88.57142857142857,51.42857142857142,87.85714285714286,96.25,81.02678571428572,Critical
Buldana,B-,140,7,0.32142857142857145,0.0,82.14285714285714,17.857142857142858,2.4740629851159786,12.857142857142858,97.5,35.714285714285715,96.07142857142857,79.64285714285714,77.23214285714286,Critical
Buldana,O+,140,7,1.75,0.0,62.857142857142854,26.42857142857143,1.6675604989003283,7.5,93.92857142857143,48.75,86.07142857142858,86.07142857142858,78.70535714285715,Critical
Buldana,O-,140,7,0.11428571428571428,0.0,88.57142857142857,11.428571428571429,2.783882181415011,5.86734693877551,99.64285714285714,23.57142857142857,97.5,88.57142857142857,77.32142857142857,Critical
Chandrapur,A-,120,6,1.0166666666666666,1.0,49.166666666666664,50.83333333333333,1.1774783454331499,22.5,83.21428571428572,74.28571428571429,60.357142857142854,66.60714285714285,71.11607142857143,High
Chandrapur,AB-,120,6,0.43333333333333335,0.0,85.0,15.0,2.4699375935388193,16.666666666666668,98.39285714285714,29.28571428571429,95.71428571428572,73.21428571428571,74.15178571428572,High
Dhule,AB-,140,7,0.7214285714285714,0.0,52.85714285714286,47.14285714285714,1.305241933230881,3.333333333333333,85.35714285714285,69.64285714285714,70.35714285714286,90.89285714285714,79.0625,Critical
Gadchiroli,A-,60,3,0.16666666666666666,0.0,86.66666666666667,13.333333333333334,2.720294101747089,2.7777777777777772,99.28571428571429,26.785714285714285,97.14285714285714,91.42857142857143,78.66071428571429,Critical
Gadchiroli,B-,60,3,0.4666666666666667,0.0,56.666666666666664,43.333333333333336,1.265717510476382,7.6923076923076925,87.85714285714286,65.71428571428571,67.85714285714286,85.53571428571428,76.74107142857142,High
Hingoli,A-,40,2,0.2,0.0,85.0,15.0,2.5495097567963922,6.25,98.39285714285714,29.28571428571429,96.78571428571429,87.67857142857143,78.03571428571429,Critical
Hingoli,AB-,40,2,0.675,0.0,60.0,40.0,1.3410271844616053,3.3333333333333335,92.67857142857143,59.82142857142857,73.21428571428571,90.89285714285714,79.15178571428572,Critical
Hingoli,B-,40,2,1.25,2.0,40.0,60.0,0.8899438184514796,6.666666666666667,76.07142857142857,86.25,22.857142857142858,87.14285714285714,68.08035714285714,High
Hingoli,O-,40,2,2.75,1.0,27.500000000000004,52.5,1.3180250690501405,10.0,56.42857142857143,76.60714285714286,70.71428571428572,83.21428571428572,71.74107142857143,High
Jalgaon,A-,220,11,0.9227272727272727,0.0,56.36363636363636,41.81818181818181,1.4861098243915631,13.333333333333334,87.5,64.28571428571429,79.28571428571428,79.10714285714285,77.54464285714285,Critical
Jalgaon,AB-,220,11,0.4590909090909091,0.0,65.9090909090909,34.090909090909086,1.6129499947366712,12.053571428571427,95.0,53.92857142857142,83.57142857142857,81.07142857142857,78.39285714285714,Critical
Jalgaon,B-,220,11,1.8318181818181818,0.0,63.18181818181819,20.909090909090907,1.8153378767452442,13.38095238095238,94.28571428571428,42.142857142857146,91.07142857142857,78.57142857142857,76.51785714285714,High
Jalgaon,O-,220,11,1.3409090909090908,1.0,48.18181818181818,45.45454545454545,1.2950527924117932,16.19047619047619,82.14285714285714,68.57142857142857,68.57142857142857,75.71428571428571,73.75,High
Kolhapur,A-,280,14,1.5071428571428571,1.0,40.0,57.14285714285714,1.1641705235033546,26.111111111111107,76.07142857142857,82.14285714285714,58.92857142857143,58.57142857142858,68.92857142857143,High
Mumbai,A-,995,52,1.601005025125628,0.0,61.20603015075376,31.959798994974875,3.6689049026627076,15.594947380661665,93.57142857142857,52.142857142857146,98.57142857142858,76.07142857142857,80.08928571428572,Critical
