feature,importance_mean,importance_std,rank
stock,0.17124499209739893,0.0021624487338024407,1
rolling_mean_3,0.023047642935104397,0.0005128130071345871,2
rolling_std_3,0.007425819222585517,0.0005090908366038245,3
previous_stock,0.0013096249731788356,0.00034448212143112163,4
stock_vs_rolling_mean,0.0006964709108026712,0.0002966840816806499,5
stock_change,0.0005139103408341005,7.381174925459877e-05,6
previous_stockout,0.0004785466438930408,0.00019877350627048223,7
trend,0.0,0.0,8
recovered_from_previous_stockout,0.0,0.0,9
previous_low_stock,-3.842434520511251e-05,0.00010750613090691657,10
