feature,importance,rank,interpretation
stock,0.17572305462877807,1,stock permutation importance = 0.1757
rolling_mean_3,0.023396652412957696,2,rolling_mean_3 permutation importance = 0.0234
rolling_std_3,0.00806999398335626,3,rolling_std_3 permutation importance = 0.0081
previous_stock,0.001589342696776863,4,previous_stock permutation importance = 0.0016
stock_vs_rolling_mean,0.0008207013535915131,5,stock_vs_rolling_mean permutation importance = 0.0008
previous_stockout,0.00024566477412018005,6,previous_stockout permutation importance = 0.0002
stock_change,5.608567600774439e-05,7,stock_change permutation importance = 0.0001
recovered_from_previous_stockout,3.3828814042680124e-06,8,recovered_from_previous_stockout permutation importance = 0.0000
trend,0.0,9,trend permutation importance = 0.0000
previous_low_stock,-0.00011439354881208619,10,previous_low_stock permutation importance = -0.0001
