hospital_code,blood_bank_name,district,degree,degree_centrality,betweenness_centrality,closeness_centrality
18014,Bombay Hospital Trust Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.009850773197736667
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,3,0.00911854103343465,0.0,0.00029083558544799773
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,74,0.22492401215805471,0.0,0.012013759845636011
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,74,0.22492401215805471,0.0,0.01289321664638549
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,4,0.0121580547112462,0.0,0.0005988944612010591
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College Hospital, Blood Bank",Ahmadnagar,9,0.02735562310030395,0.00012973533990659058,0.0009568340815184049
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood Centre",Akola,3,0.00911854103343465,0.0,0.0023143584959127604
18016,K.E.M. Hospital Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.01210994722330755
18017,Masina Hospital Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.011117412609051108
18138,Jankalyan Blood Centre,Ahmadnagar,9,0.02735562310030395,0.0,0.0008951375665406847
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,11,0.03343465045592705,0.0,0.0024019879847418046
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,10,0.030395136778115502,0.0,0.01650579608575697
18011,General Hospital Blood Centre,Chandrapur,4,0.0121580547112462,0.0,0.0008547964471981866
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,5,0.015197568389057751,0.0,0.0009654831646772354
18132,Jeevandhara Blood Centre,Kolhapur,24,0.0729483282674772,0.0,0.0019400927355859793
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,24,0.0729483282674772,0.0,0.0023539103128453268
18130,"Shri Basaveshwar Manav Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,25,0.07598784194528875,0.0,0.002266489523028965
